784,1028.0,2560
752,995.0,2888
776,1025.0,1992
704,1030.0,2480
720,1028.0,2016
672,1085.0,1976
720,1135.0,2472
720,1160.0,2072
776,1169.0,1976
584,978.0,1552
760,1185.0,2024
776,1393.0,3688
680,1408.0,3600
672,1347.0,2056
728,1192.0,2024
720,1363.0,2672
752,1280.0,2640
680,1684.0,8184
704,1282.0,2112
736,1251.0,2664
688,1339.0,2008
784,1538.0,3984
816,1543.0,2704
704,1555.0,3496
744,1364.0,2392
696,1262.0,1824
760,1768.0,3544
808,1336.0,1952
776,1356.0,1800
736,1304.0,2040
824,1497.0,2424
752,1317.0,6608
672,1461.0,2000
760,1352.0,3648
904,1529.0,4128
760,1829.0,6032
816,1452.0,4008
760,1487.0,4072
672,1601.0,6160
792,1540.0,5040
784,1361.0,2232
776,1561.0,2048
776,1396.0,1984
784,1727.0,6320
792,1468.0,2048
792,1390.0,2336
776,1530.0,2008
840,1467.0,2024
816,1410.0,2032
776,1446.0,2064
760,1568.0,2056
864,1452.0,2264
840,1424.0,2264
808,1454.0,2328
832,1551.0,4424
816,1679.0,2504
688,1737.0,4472
848,1730.0,2440
880,2187.0,3400
776,1490.0,2064
736,1428.0,2008
880,1489.0,2040
872,1610.0,1936
704,1417.0,1872
840,1642.0,2272
760,1596.0,1992
752,1989.0,3816
688,1777.0,2472
856,1514.0,2232
824,1624.0,3000
936,1627.0,2408
816,1518.0,2184
832,1526.0,2024
920,1570.0,2024
784,1665.0,10944
944,1679.0,2400
848,2236.0,3360
848,2000.0,8880
912,1728.0,2048
784,1368.0,2544
808,1798.0,4008
704,1671.0,2320
760,1576.0,2032
856,1991.0,2536
816,1812.0,2632
864,1825.0,3960
696,1469.0,2184
936,1544.0,1992
784,1633.0,2232
912,1361.0,2384
896,1729.0,2592
800,1544.0,1888
944,1790.0,2176
896,1586.0,1984
808,1546.0,2200
800,1568.0,2040
744,1714.0,5520
824,1554.0,1952
736,2002.0,2456
776,1740.0,2848
